id,delivery_person_age,delivery_person_ratings,order_date,order_time,pickup_time,weather_conditions,road_traffic_density,order_type,vehicle_type,multiple_deliveries,festival,city,time_taken_mins,order_year,order_day,order_month,pickup_day_period
65,37,4.6,2022-02-18,23:30,23:45,Fog,Low,Buffet,motorcycle,2,Yes,Urban,42,2022,Friday,February,Night
66,24,5.0,2022-03-01,10:50,10:55,Fog,Low,Drinks,motorcycle,1,No,Metropolitian,23,2022,Tuesday,March,Morning
67,25,4.2,2022-03-23,21:25,21:40,Stormy,Jam,Meal,motorcycle,1,No,Metropolitian,39,2022,Wednesday,March,Night
68,32,4.6,2022-04-01,10:10,10:20,Stormy,Low,Drinks,motorcycle,1,No,Metropolitian,25,2022,Friday,April,Morning
69,38,4.9,2022-03-11,08:40,08:55,Cloudy,Low,Drinks,scooter,1,No,Urban,15,2022,Friday,March,Morning
70,36,4.8,2022-03-14,17:50,17:55,Sunny,Medium,Buffet,electric_scooter,0,No,Metropolitian,15,2022,Monday,March,Evening
71,29,5.0,2022-04-01,22:20,22:25,Sunny,Low,Drinks,motorcycle,0,No,Metropolitian,18,2022,Friday,April,Night
72,36,4.7,2022-04-04,23:40,23:50,Sandstorms,Low,Drinks,electric_scooter,0,No,Metropolitian,29,2022,Monday,April,Night
73,33,4.7,2022-03-11,23:25,23:30,Fog,Low,Snack,motorcycle,0,No,Metropolitian,20,2022,Friday,March,Night
74,36,4.4,2022-03-13,12:40,12:55,Cloudy,High,Meal,scooter,1,No,Metropolitian,39,2022,Sunday,March,Afternoon
75,21,4.8,2022-03-04,23:30,23:45,Windy,Low,Snack,motorcycle,0,No,Metropolitian,19,2022,Friday,March,Night
76,25,4.8,2022-03-26,23:55,00:10,Cloudy,Low,Snack,scooter,1,No,Urban,19,2022,Saturday,March,Midnight
77,25,4.6,2022-03-01,10:25,10:40,Stormy,Low,Snack,motorcycle,1,No,Urban,15,2022,Tuesday,March,Morning
78,27,4.6,2022-03-04,21:25,21:40,Sandstorms,Jam,Buffet,motorcycle,1,No,Metropolitian,29,2022,Friday,March,Night
79,23,4.8,2022-03-18,22:35,22:40,Cloudy,Low,Snack,scooter,1,No,Urban,22,2022,Friday,March,Night
80,21,4.3,2022-03-23,20:10,20:20,Fog,Jam,Drinks,scooter,0,No,Metropolitian,42,2022,Wednesday,March,Night
81,27,4.7,2022-03-15,10:55,11:10,Sandstorms,Low,Snack,scooter,0,No,Urban,12,2022,Tuesday,March,Morning
82,32,4.2,2022-03-08,20:35,20:45,Cloudy,Jam,Snack,motorcycle,1,No,Metropolitian,38,2022,Tuesday,March,Night
83,25,4.6,2022-03-10,23:20,23:35,Sunny,Low,Drinks,motorcycle,1,No,Metropolitian,23,2022,Thursday,March,Night
84,39,4.7,2022-02-11,10:35,10:50,Cloudy,Low,Meal,scooter,0,No,Metropolitian,15,2022,Friday,February,Morning
85,27,4.6,2022-03-14,23:45,23:50,Sunny,Low,Snack,motorcycle,1,No,Metropolitian,24,2022,Monday,March,Night
86,31,4.8,2022-03-01,22:15,22:25,Sandstorms,Low,Snack,scooter,0,No,Metropolitian,24,2022,Tuesday,March,Night
87,31,4.8,2022-03-01,23:10,23:15,Sunny,Low,Buffet,electric_scooter,0,No,Metropolitian,13,2022,Tuesday,March,Night
88,36,4.9,2022-03-02,18:25,18:35,Cloudy,Medium,Drinks,motorcycle,1,No,Urban,42,2022,Wednesday,March,Evening
89,20,4.9,2022-03-20,22:10,22:20,Sandstorms,Low,Meal,motorcycle,1,No,Metropolitian,17,2022,Sunday,March,Night
90,24,4.6,2022-04-03,20:50,21:05,Cloudy,Jam,Drinks,motorcycle,0,No,Metropolitian,25,2022,Sunday,April,Night
91,39,4.2,2022-03-29,18:45,18:50,Fog,Medium,Snack,scooter,0,No,Metropolitian,39,2022,Tuesday,March,Evening
92,37,4.8,2022-03-17,14:55,15:05,Sunny,High,Meal,scooter,0,No,Metropolitian,18,2022,Thursday,March,Afternoon
93,22,4.5,2022-02-15,22:20,22:35,Sandstorms,Low,Drinks,scooter,1,No,Metropolitian,18,2022,Tuesday,February,Night
94,33,4.7,2022-03-08,21:10,21:20,Fog,Jam,Snack,scooter,1,No,Metropolitian,49,2022,Tuesday,March,Night
95,27,4.6,2022-03-31,23:30,23:35,Sunny,Low,Drinks,motorcycle,1,No,Metropolitian,21,2022,Thursday,March,Night
96,34,4.7,2022-03-01,14:20,14:35,Sunny,High,Snack,scooter,0,No,Metropolitian,23,2022,Tuesday,March,Afternoon
97,26,5.0,2022-04-03,10:15,10:25,Fog,Low,Meal,scooter,1,No,Urban,11,2022,Sunday,April,Morning
98,31,4.6,2022-03-24,21:20,21:35,Cloudy,Jam,Snack,motorcycle,0,No,Metropolitian,25,2022,Thursday,March,Night
99,32,4.9,2022-03-07,08:50,08:55,Fog,Low,Snack,motorcycle,0,No,Metropolitian,18,2022,Monday,March,Morning
100,24,4.9,2022-03-30,16:35,16:50,Fog,Medium,Meal,scooter,1,No,Urban,17,2022,Wednesday,March,Evening
101,33,4.4,2022-03-05,08:30,08:40,Sandstorms,Low,Snack,motorcycle,1,No,Metropolitian,28,2022,Saturday,March,Morning
102,20,4.6,2022-03-18,20:35,20:50,Fog,Jam,Buffet,motorcycle,0,Yes,Metropolitian,44,2022,Friday,March,Night
103,31,4.3,2022-03-13,23:25,23:40,Windy,Low,Snack,motorcycle,1,No,Metropolitian,20,2022,Sunday,March,Night
104,36,5.0,2022-03-31,19:55,20:05,Fog,Jam,Snack,motorcycle,1,No,Metropolitian,35,2022,Thursday,March,Night
105,31,4.2,2022-03-23,21:20,21:30,Sandstorms,Jam,Meal,motorcycle,1,No,Metropolitian,50,2022,Wednesday,March,Night
106,39,4.1,2022-03-24,21:45,21:50,Stormy,Jam,Meal,scooter,1,No,Metropolitian,34,2022,Thursday,March,Night
107,37,4.9,2022-03-09,18:10,18:20,Fog,Medium,Buffet,motorcycle,1,No,Metropolitian,27,2022,Wednesday,March,Evening
108,33,4.7,2022-03-17,12:20,12:30,Cloudy,High,Snack,motorcycle,0,No,Urban,26,2022,Thursday,March,Afternoon
109,31,3.9,2022-03-18,23:40,23:50,Cloudy,Low,Buffet,scooter,1,No,Metropolitian,35,2022,Friday,March,Night
110,37,4.6,2022-03-19,12:50,12:55,Windy,High,Drinks,motorcycle,1,No,Urban,41,2022,Saturday,March,Afternoon
111,23,4.8,2022-04-03,10:25,10:35,Windy,Low,Buffet,scooter,1,No,Metropolitian,19,2022,Sunday,April,Morning
112,36,4.9,2022-03-11,09:10,09:25,Windy,Low,Buffet,scooter,1,No,Metropolitian,27,2022,Friday,March,Morning
113,39,4.8,2022-04-01,12:30,12:45,Cloudy,High,Snack,motorcycle,1,No,Metropolitian,28,2022,Friday,April,Afternoon
114,20,4.7,2022-03-20,17:10,17:20,Sandstorms,Medium,Drinks,motorcycle,1,No,Metropolitian,24,2022,Sunday,March,Evening
115,20,5.0,2022-03-31,19:15,19:30,Cloudy,Jam,Meal,motorcycle,1,No,Urban,36,2022,Thursday,March,Evening
116,29,4.3,2022-02-13,23:50,23:55,Sandstorms,Low,Buffet,motorcycle,0,No,Metropolitian,28,2022,Sunday,February,Night
117,36,4.8,2022-03-29,18:45,18:50,Fog,Medium,Drinks,motorcycle,1,No,Urban,31,2022,Tuesday,March,Evening
118,36,4.0,2022-03-16,20:40,20:45,Sunny,Jam,Meal,motorcycle,3,No,Metropolitian,44,2022,Wednesday,March,Night
119,22,4.8,2022-03-14,22:10,22:25,Windy,Low,Drinks,scooter,1,No,Metropolitian,15,2022,Monday,March,Night
120,38,4.4,2022-03-31,17:20,17:25,Windy,Medium,Buffet,motorcycle,1,No,Metropolitian,33,2022,Thursday,March,Evening
121,39,4.9,2022-03-17,19:55,20:10,Fog,Jam,Buffet,motorcycle,0,No,Metropolitian,30,2022,Thursday,March,Night
122,24,4.9,2022-03-28,18:15,18:25,Stormy,Medium,Snack,scooter,1,No,Metropolitian,22,2022,Monday,March,Evening
123,35,4.8,2022-03-04,17:25,17:35,Fog,Medium,Meal,motorcycle,3,No,Metropolitian,48,2022,Friday,March,Evening
124,39,4.7,2022-02-14,18:30,18:35,Windy,Medium,Snack,motorcycle,1,No,Urban,21,2022,Monday,February,Evening
125,31,4.3,2022-03-25,21:35,21:45,Windy,Jam,Drinks,motorcycle,0,No,Metropolitian,44,2022,Friday,March,Night
126,37,4.5,2022-03-17,08:40,08:55,Windy,Low,Drinks,scooter,0,No,Metropolitian,26,2022,Thursday,March,Morning
127,37,4.7,2022-04-01,22:35,22:40,Windy,Low,Buffet,scooter,1,No,Metropolitian,26,2022,Friday,April,Night
128,33,5.0,2022-03-19,11:45,11:50,Windy,High,Meal,motorcycle,1,No,Metropolitian,31,2022,Saturday,March,Morning
129,24,4.6,2022-03-07,23:25,23:40,Stormy,Low,Meal,scooter,1,No,Urban,19,2022,Monday,March,Night
130,33,4.5,2022-03-02,19:10,19:15,Sunny,Jam,Snack,scooter,0,No,Metropolitian,18,2022,Wednesday,March,Evening
131,37,4.6,2022-03-29,18:15,18:25,Cloudy,Medium,Snack,motorcycle,1,No,Metropolitian,32,2022,Tuesday,March,Evening
132,25,4.9,2022-03-07,22:30,22:35,Sandstorms,Low,Meal,scooter,1,No,Metropolitian,17,2022,Monday,March,Night
133,38,4.7,2022-03-30,13:10,13:20,Windy,High,Buffet,motorcycle,1,No,Metropolitian,31,2022,Wednesday,March,Afternoon
134,31,4.6,2022-03-19,17:55,18:05,Windy,Medium,Meal,motorcycle,0,No,Metropolitian,25,2022,Saturday,March,Evening
135,25,4.8,2022-03-15,19:50,20:05,Cloudy,Jam,Snack,motorcycle,1,No,Metropolitian,22,2022,Tuesday,March,Night
136,35,4.9,2022-03-02,21:15,21:20,Fog,Jam,Drinks,motorcycle,3,No,Metropolitian,43,2022,Wednesday,March,Night
137,39,4.7,2022-03-31,19:35,19:45,Fog,Jam,Buffet,motorcycle,1,Yes,Metropolitian,42,2022,Thursday,March,Evening
138,38,3.9,2022-03-06,19:10,19:20,Stormy,Jam,Meal,motorcycle,0,No,Metropolitian,42,2022,Sunday,March,Evening
139,35,4.7,2022-03-21,21:20,21:30,Fog,Jam,Drinks,motorcycle,1,No,Metropolitian,34,2022,Monday,March,Night
140,29,4.7,2022-03-01,09:50,10:05,Sandstorms,Low,Snack,motorcycle,1,No,Metropolitian,17,2022,Tuesday,March,Morning
141,27,4.6,2022-03-24,20:35,20:40,Stormy,Jam,Snack,scooter,0,No,Metropolitian,25,2022,Thursday,March,Night
142,38,4.3,2022-04-04,21:15,21:25,Sandstorms,Jam,Meal,motorcycle,1,Yes,Semi-Urban,54,2022,Monday,April,Night
143,26,4.1,2022-02-12,19:45,19:50,Fog,Jam,Meal,motorcycle,1,No,Metropolitian,36,2022,Saturday,February,Evening
144,36,4.9,2022-04-05,17:45,17:55,Sunny,Medium,Drinks,motorcycle,0,No,Metropolitian,17,2022,Tuesday,April,Evening
145,20,4.5,2022-03-17,12:50,12:55,Fog,High,Meal,motorcycle,1,No,Metropolitian,26,2022,Thursday,March,Afternoon
146,23,4.6,2022-03-31,21:40,21:55,Fog,Jam,Snack,motorcycle,2,Yes,Metropolitian,46,2022,Thursday,March,Night
147,37,5.0,2022-02-17,19:55,20:05,Sunny,Jam,Buffet,motorcycle,0,No,Metropolitian,29,2022,Thursday,February,Night
148,26,4.8,2022-03-09,19:35,19:40,Sandstorms,Jam,Snack,motorcycle,1,No,Metropolitian,23,2022,Wednesday,March,Evening
149,26,4.9,2022-03-25,17:10,17:25,Stormy,Medium,Snack,motorcycle,0,No,Metropolitian,28,2022,Friday,March,Evening
150,29,4.8,2022-03-11,19:35,19:40,Cloudy,Jam,Meal,motorcycle,1,No,Metropolitian,25,2022,Friday,March,Evening
151,29,4.7,2022-03-03,10:30,10:45,Sandstorms,Low,Snack,motorcycle,0,No,Metropolitian,11,2022,Thursday,March,Morning
152,21,4.9,2022-02-15,18:10,18:20,Windy,Medium,Meal,scooter,1,No,Metropolitian,26,2022,Tuesday,February,Evening
153,22,4.3,2022-03-07,10:10,10:25,Stormy,Low,Meal,motorcycle,1,No,Metropolitian,23,2022,Monday,March,Morning
154,31,4.0,2022-03-18,17:50,18:05,Fog,Medium,Snack,motorcycle,2,No,Metropolitian,39,2022,Friday,March,Evening
155,36,4.8,2022-03-06,17:55,18:10,Fog,Medium,Snack,motorcycle,1,No,Metropolitian,43,2022,Sunday,March,Evening
156,32,4.7,2022-03-21,09:40,09:50,Windy,Low,Buffet,electric_scooter,0,No,Metropolitian,25,2022,Monday,March,Morning
157,25,5.0,2022-03-19,18:20,18:25,Windy,Medium,Drinks,motorcycle,0,No,Metropolitian,27,2022,Saturday,March,Evening
158,27,4.5,2022-03-28,15:35,15:50,Windy,Medium,Drinks,scooter,1,No,Metropolitian,29,2022,Monday,March,Afternoon
159,32,4.1,2022-03-29,18:15,18:30,Sandstorms,Medium,Buffet,motorcycle,1,No,Metropolitian,33,2022,Tuesday,March,Evening
160,39,4.4,2022-03-29,18:10,18:15,Sunny,Medium,Meal,motorcycle,1,No,Metropolitian,33,2022,Tuesday,March,Evening
161,20,4.8,2022-03-21,19:15,19:20,Fog,Jam,Snack,motorcycle,1,No,Metropolitian,28,2022,Monday,March,Evening
162,29,4.6,2022-02-15,20:30,20:45,Stormy,Jam,Meal,scooter,1,No,Metropolitian,29,2022,Tuesday,February,Night
163,31,4.9,2022-02-13,14:50,15:05,Sunny,High,Snack,motorcycle,0,No,Metropolitian,28,2022,Sunday,February,Afternoon
164,24,4.7,2022-03-16,20:20,20:25,Fog,Jam,Snack,motorcycle,1,No,Metropolitian,39,2022,Wednesday,March,Night
165,36,4.8,2022-03-20,18:15,18:20,Sandstorms,Medium,Buffet,motorcycle,1,No,Metropolitian,36,2022,Sunday,March,Evening
166,26,4.7,2022-03-04,19:35,19:40,Cloudy,Jam,Meal,motorcycle,1,No,Metropolitian,43,2022,Friday,March,Evening
167,33,4.7,2022-03-09,18:10,18:25,Fog,Medium,Buffet,electric_scooter,1,No,Urban,15,2022,Wednesday,March,Evening
168,34,4.0,2022-03-12,21:10,21:15,Windy,Jam,Snack,motorcycle,2,No,Metropolitian,39,2022,Saturday,March,Night
169,36,4.6,2022-04-04,23:40,23:50,Windy,Low,Buffet,motorcycle,1,No,Metropolitian,20,2022,Monday,April,Night
170,27,4.9,2022-03-02,23:25,23:40,Fog,Low,Drinks,scooter,0,No,Metropolitian,20,2022,Wednesday,March,Night
171,26,4.8,2022-03-27,19:30,19:40,Cloudy,Jam,Snack,motorcycle,1,No,Metropolitian,43,2022,Sunday,March,Evening
172,29,4.5,2022-03-04,22:55,23:05,Windy,Low,Drinks,motorcycle,0,No,Urban,15,2022,Friday,March,Night
173,31,4.5,2022-04-06,20:25,20:40,Sunny,Jam,Buffet,motorcycle,0,No,Urban,29,2022,Wednesday,April,Night
174,28,4.6,2022-03-26,12:35,12:50,Stormy,High,Drinks,motorcycle,0,No,Metropolitian,14,2022,Saturday,March,Afternoon
175,30,4.9,2022-03-18,23:45,23:55,Windy,Low,Drinks,motorcycle,1,No,Metropolitian,29,2022,Friday,March,Night
176,29,4.7,2022-02-11,15:25,15:30,Cloudy,Medium,Buffet,motorcycle,1,No,Urban,11,2022,Friday,February,Afternoon
177,20,4.8,2022-03-28,11:30,11:40,Sunny,High,Snack,motorcycle,0,No,Metropolitian,14,2022,Monday,March,Morning
178,28,5.0,2022-02-16,22:35,22:45,Windy,Low,Snack,motorcycle,0,No,Urban,15,2022,Wednesday,February,Night
179,25,4.7,2022-03-16,23:35,23:45,Sandstorms,Low,Meal,motorcycle,1,No,Metropolitian,16,2022,Wednesday,March,Night
180,38,4.8,2022-03-28,10:25,10:30,Stormy,Low,Buffet,motorcycle,1,No,Metropolitian,20,2022,Monday,March,Morning
181,39,4.9,2022-03-03,22:20,22:30,Stormy,Low,Drinks,motorcycle,1,No,Metropolitian,26,2022,Thursday,March,Night
182,26,4.9,2022-03-13,17:15,17:20,Windy,Medium,Snack,scooter,0,No,Metropolitian,26,2022,Sunday,March,Evening
183,33,4.4,2022-03-14,21:30,21:45,Windy,Jam,Meal,motorcycle,0,No,Urban,43,2022,Monday,March,Night
184,24,4.6,2022-03-01,18:40,18:50,Sandstorms,Medium,Snack,motorcycle,1,No,Urban,25,2022,Tuesday,March,Evening
185,24,4.9,2022-03-21,15:10,15:20,Fog,Medium,Buffet,motorcycle,1,No,Metropolitian,28,2022,Monday,March,Afternoon
186,33,4.5,2022-03-10,22:50,23:05,Stormy,Low,Buffet,scooter,0,No,Metropolitian,17,2022,Thursday,March,Night
187,35,4.2,2022-03-20,19:30,19:40,Windy,Jam,Drinks,motorcycle,1,No,Metropolitian,44,2022,Sunday,March,Evening
188,27,4.2,2022-04-06,20:30,20:35,Stormy,Jam,Buffet,motorcycle,1,No,Metropolitian,33,2022,Wednesday,April,Night
189,29,4.5,2022-04-03,18:45,18:50,Sunny,Medium,Snack,motorcycle,0,No,Metropolitian,15,2022,Sunday,April,Evening
190,34,4.7,2022-02-12,23:10,23:20,Fog,Low,Buffet,scooter,1,No,Metropolitian,27,2022,Saturday,February,Night
191,20,4.7,2022-02-11,11:10,11:25,Cloudy,High,Meal,scooter,1,No,Metropolitian,25,2022,Friday,February,Morning
192,29,4.8,2022-04-05,13:50,13:55,Sunny,High,Drinks,motorcycle,1,No,Metropolitian,18,2022,Tuesday,April,Afternoon
193,22,4.9,2022-04-05,18:40,18:45,Stormy,Medium,Snack,scooter,0,No,Metropolitian,21,2022,Tuesday,April,Evening
194,35,4.9,2022-02-18,21:15,21:30,Cloudy,Jam,Buffet,motorcycle,2,No,Metropolitian,53,2022,Friday,February,Night
195,32,4.4,2022-02-12,21:45,21:55,Sandstorms,Jam,Drinks,motorcycle,3,No,Metropolitian,42,2022,Saturday,February,Night
196,28,4.9,2022-02-14,21:20,21:35,Sunny,Jam,Snack,motorcycle,1,No,Metropolitian,20,2022,Monday,February,Night
197,30,4.7,2022-03-02,22:45,22:55,Fog,Low,Meal,scooter,0,No,Metropolitian,29,2022,Wednesday,March,Night
198,22,4.7,2022-04-04,20:10,20:20,Stormy,Jam,Snack,scooter,0,No,Urban,15,2022,Monday,April,Night
199,36,4.7,2022-03-09,18:20,18:35,Fog,Medium,Buffet,motorcycle,1,No,Metropolitian,30,2022,Wednesday,March,Evening
200,23,4.8,2022-03-12,20:40,20:45,Windy,Jam,Snack,motorcycle,1,No,Metropolitian,28,2022,Saturday,March,Night
201,29,4.5,2022-02-18,22:30,22:40,Sandstorms,Low,Meal,motorcycle,1,No,Metropolitian,15,2022,Friday,February,Night
202,34,4.9,2022-03-23,21:50,22:05,Sandstorms,Jam,Buffet,motorcycle,3,Yes,Urban,50,2022,Wednesday,March,Night
203,38,4.1,2022-03-05,11:50,11:55,Stormy,High,Buffet,motorcycle,1,Yes,Metropolitian,41,2022,Saturday,March,Morning
